subject,rt,question,item,modality
0,329.733098164002,0,0,image
0,463.0108899821203,0,1,image
0,394.01608178545877,0,2,image
0,446.6119259232705,0,3,image
0,438.20411166082874,0,4,image
0,419.9312820391348,0,5,image
0,245.67854984687312,0,6,image
0,329.4640625858339,0,7,image
0,360.61337078045597,0,8,image
0,376.7034653293136,0,9,image
0,268.48121839249717,1,0,image
0,335.07417267597526,1,1,image
0,388.14533443775565,1,2,image
0,338.59469205473226,1,3,image
0,282.75383505234817,1,4,image
0,281.2369872078431,1,5,image
0,360.3300355612517,1,6,image
0,229.01333295374855,1,7,image
0,212.9185919769751,1,8,image
0,211.55629233036052,1,9,image
1,311.9263969105282,0,0,image
1,402.3132082425677,0,1,image
1,512.6139569509704,0,2,image
1,384.73645977548614,0,3,image
1,485.2871201680686,0,4,image
1,319.0996934948627,0,5,image
1,400.92477874062735,0,6,image
1,337.94588793958735,0,7,image
1,398.41219294983,0,8,image
1,390.1854580108723,0,9,image
1,316.6091908524127,1,0,image
1,367.2997808967589,1,1,image
1,292.3316952369515,1,2,image
1,374.74801771916555,1,3,image
1,331.81577936679406,1,4,image
1,246.1388255159597,1,5,image
1,328.8515524046482,1,6,image
1,269.79164981970155,1,7,image
1,238.30019319736064,1,8,image
1,312.56052158651886,1,9,image
2,366.6011888325122,0,0,image
2,493.3236277575876,0,1,image
2,486.34218993531863,0,2,image
2,423.01795054022693,0,3,image
2,545.8014291198222,0,4,image
2,397.8319193708048,0,5,image
2,453.2180504625716,0,6,image
2,397.7936900328758,0,7,image
2,345.00389857120956,0,8,image
2,464.9731770778618,0,9,image
2,279.8434757600585,1,0,image
2,351.2359837288967,1,1,image
2,487.0934754272162,1,2,image
2,287.97415602106844,1,3,image
2,358.0644991169957,1,4,image
2,270.7976350659575,1,5,image
2,369.9469072970577,1,6,image
2,283.9426095457685,1,7,image
2,268.8361683491805,1,8,image
2,355.4724660887176,1,9,image
3,379.92827434214735,0,0,image
3,496.7832265781622,0,1,image
3,576.9626383787808,0,2,image
3,457.75974895573495,0,3,image
3,446.85384116993515,0,4,image
3,409.45537092862486,0,5,image
3,389.21914958551804,0,6,image
3,339.5801922252673,0,7,image
3,431.7733366312643,0,8,image
3,431.6929124377855,0,9,image
3,286.4355569726598,1,0,image
3,263.1047770504921,1,1,image
3,317.78860700717553,1,2,image
3,193.72639348225363,1,3,image
3,383.1597652664444,1,4,image
3,258.85904197784623,1,5,image
3,351.2623668315813,1,6,image
3,258.58272493781624,1,7,image
3,294.48211260758757,1,8,image
3,341.45926915515724,1,9,image
4,389.76758246505096,0,0,image
4,319.4452875252079,0,1,image
4,436.1804742618739,0,2,image
4,380.7443537283654,0,3,image
4,418.2168823351739,0,4,image
4,356.4602608155506,0,5,image
4,358.339058875335,0,6,image
4,254.31898642037146,0,7,image
4,445.00165482302333,0,8,image
4,444.79771476689535,0,9,image
4,249.846681778546,1,0,image
4,293.18897839345846,1,1,image
4,288.66640246872,1,2,image
4,192.67330862900172,1,3,image
4,288.67430674442335,1,4,image
4,226.33119843900062,1,5,image
4,284.44017141173293,1,6,image
4,155.52990135057877,1,7,image
4,185.26558069966103,1,8,image
4,274.0524856630015,1,9,image
5,304.8172139466135,0,0,image
5,366.8439960843802,0,1,image
5,445.77547504064046,0,2,image
5,323.6300024231932,0,3,image
5,446.55837781276307,0,4,image
5,358.78224535023054,0,5,image
5,280.6667040442376,0,6,image
5,361.2787616251645,0,7,image
5,334.20346492045746,0,8,image
5,390.9755151934693,0,9,image
5,323.6681149438497,1,0,image
5,277.52572938353535,1,1,image
5,352.3106032073543,1,2,image
5,224.5845378082246,1,3,image
5,304.5822906061466,1,4,image
5,277.3544027733278,1,5,image
5,238.48354993689603,1,6,image
5,216.06964581721257,1,7,image
5,275.1586668187104,1,8,image
5,279.09165304542324,1,9,image
6,330.5548294997308,0,0,image
6,497.05611083904944,0,1,image
6,393.08100763741174,0,2,image
6,348.4332373964769,0,3,image
6,444.49404818779533,0,4,image
6,402.94538178305334,0,5,image
6,375.0971856245278,0,6,image
6,369.0885415427513,0,7,image
6,379.3810635441435,0,8,image
6,367.6692360834825,0,9,image
6,309.3632357775018,1,0,image
6,259.1318349323565,1,1,image
6,355.6912467337196,1,2,image
6,263.73711088073065,1,3,image
6,429.861816422832,1,4,image
6,278.73217027394986,1,5,image
6,326.08517335807863,1,6,image
6,280.9013181241094,1,7,image
6,308.4425951125206,1,8,image
6,280.1773240894573,1,9,image
7,493.4880171950009,0,0,image
7,463.2594982416417,0,1,image
7,467.98986104534134,0,2,image
7,434.05246030839044,0,3,image
7,524.4306820402849,0,4,image
7,439.88643092752494,0,5,image
7,323.47361958385187,0,6,image
7,298.79843792594363,0,7,image
7,406.12723062005324,0,8,image
7,422.55633472353617,0,9,image
7,369.53216915631003,1,0,image
7,289.91328378622353,1,1,image
7,316.9587345919032,1,2,image
7,249.88565891687037,1,3,image
7,294.8323915901045,1,4,image
7,267.30852674062345,1,5,image
7,256.76391100428646,1,6,image
7,225.8928124628157,1,7,image
7,249.34874820199218,1,8,image
7,390.3582000856984,1,9,image
8,352.03142713296273,0,0,image
8,516.1833281759629,0,1,image
8,466.5781435453718,0,2,image
8,318.237841638612,0,3,image
8,485.8698710673569,0,4,image
8,505.6264481372308,0,5,image
8,438.1115955344763,0,6,image
8,396.9382965810007,0,7,image
8,367.3314173646919,0,8,image
8,424.20841025995554,0,9,image
8,282.96277554961114,1,0,image
8,382.4830273791977,1,1,image
8,378.28599822831563,1,2,image
8,289.7913746371647,1,3,image
8,283.96801076165895,1,4,image
8,214.25652135812982,1,5,image
8,381.65683601230404,1,6,image
8,322.78454762514906,1,7,image
8,359.36978616969196,1,8,image
8,238.97295887259963,1,9,image
9,454.8462120556652,0,0,image
9,387.0847638459328,0,1,image
9,521.347601420767,0,2,image
9,441.1959700730787,0,3,image
9,467.4992034291317,0,4,image
9,367.0535323919004,0,5,image
9,404.86883806634904,0,6,image
9,434.1002162862201,0,7,image
9,389.1976260994312,0,8,image
9,393.43947429378323,0,9,image
9,358.48266621090727,1,0,image
9,307.23136730806675,1,1,image
9,345.4716020236645,1,2,image
9,220.0142896619849,1,3,image
9,402.8906740214786,1,4,image
9,413.8779018613836,1,5,image
9,312.4740889870076,1,6,image
9,304.49418228873105,1,7,image
9,344.634345417736,1,8,image
9,207.02010865559592,1,9,image
10,476.5476995989048,0,0,image
10,442.91018545496104,0,1,image
10,397.45190341004025,0,2,image
10,379.1724301424301,0,3,image
10,414.12974570666313,0,4,image
10,372.8051082511591,0,5,image
10,345.8368536995733,0,6,image
10,406.24138566332203,0,7,image
10,438.7929776158893,0,8,image
10,368.41947176330393,0,9,image
10,247.7149160277195,1,0,image
10,315.4034028709141,1,1,image
10,293.2105165803933,1,2,image
10,285.2078624651059,1,3,image
10,395.9379823881375,1,4,image
10,208.0252231647068,1,5,image
10,253.1950821200326,1,6,image
10,258.32555260826206,1,7,image
10,315.79089710752953,1,8,image
10,208.86366850506457,1,9,image
11,447.6864892231562,0,0,image
11,356.25987470421444,0,1,image
11,453.8175695758302,0,2,image
11,327.25533099777374,0,3,image
11,583.873577579544,0,4,image
11,400.63796667740564,0,5,image
11,371.8071268043071,0,6,image
11,333.5389808800081,0,7,image
11,432.76390003832586,0,8,image
11,371.8872733911683,0,9,image
11,324.1013025180191,1,0,image
11,348.9554536579031,1,1,image
11,307.71555291096774,1,2,image
11,227.42521356145124,1,3,image
11,301.5203898044493,1,4,image
11,212.2054391531163,1,5,image
11,288.21672928638964,1,6,image
11,259.6657872335344,1,7,image
11,311.3537658290885,1,8,image
11,208.3015807100101,1,9,image
12,430.91499651672393,0,0,image
12,418.41412045543984,0,1,image
12,370.17836291413187,0,2,image
12,446.1542159983384,0,3,image
12,482.2757867380601,0,4,image
12,401.57734988164657,0,5,image
12,340.3146435035098,0,6,image
12,361.373780043779,0,7,image
12,246.10815448417716,0,8,image
12,345.2753675488973,0,9,image
12,220.11525411757273,1,0,image
12,307.646664692915,1,1,image
12,347.5455730012627,1,2,image
12,180.6614844275601,1,3,image
12,356.35686251579665,1,4,image
12,225.37624740447205,1,5,image
12,228.80551549142405,1,6,image
12,356.68145552064243,1,7,image
12,316.39609928791987,1,8,image
12,372.1128590882362,1,9,image
13,397.1422813101037,0,0,image
13,371.228945895037,0,1,image
13,516.8757562798583,0,2,image
13,416.5690352316249,0,3,image
13,545.9789171632141,0,4,image
13,369.2989865729222,0,5,image
13,389.71982669881896,0,6,image
13,303.08265146359884,0,7,image
13,394.1283435877939,0,8,image
13,386.2002261441184,0,9,image
13,280.9414279726659,1,0,image
13,310.3818016037704,1,1,image
13,339.8802082435213,1,2,image
13,289.93283732230725,1,3,image
13,290.6319832530574,1,4,image
13,270.3014012395204,1,5,image
13,346.9039446651271,1,6,image
13,283.6915110026088,1,7,image
13,221.9571741417562,1,8,image
13,398.2030226133374,1,9,image
14,386.31977426840865,0,0,image
14,439.13038621211723,0,1,image
14,465.18559888782966,0,2,image
14,416.74984630433954,0,3,image
14,448.47343279878066,0,4,image
14,403.4730625975836,0,5,image
14,392.96261247199004,0,6,image
14,382.0580616421198,0,7,image
14,443.5773970631575,0,8,image
14,425.30491667595135,0,9,image
14,369.7950537803139,1,0,image
14,313.04963515125917,1,1,image
14,367.83526144672373,1,2,image
14,258.41085335165917,1,3,image
14,529.241503612178,1,4,image
14,355.5785626538535,1,5,image
14,321.8997614672069,1,6,image
14,281.78343709629956,1,7,image
14,235.2609730403384,1,8,image
14,294.0747751869553,1,9,image
15,454.0142975827964,0,0,image
15,507.400963803431,0,1,image
15,390.21943020003107,0,2,image
15,428.18833895990105,0,3,image
15,412.8066868095551,0,4,image
15,492.07252395383097,0,5,image
15,389.35697270481745,0,6,image
