subject,rt,question,item,modality
0,361.43510915464475,0,0,word
0,295.7061830825254,0,1,word
0,398.7576294161892,0,2,word
0,301.75222969427074,0,3,word
0,353.1055506439603,0,4,word
0,479.783784031074,0,5,word
0,279.75928236844044,0,6,word
0,465.7449317833083,0,7,word
0,397.58784864111107,0,8,word
0,394.6423395941265,0,9,word
0,308.53390055459846,0,10,word
0,390.26994831376635,0,11,word
0,376.7197798664249,0,12,word
0,414.01098716381586,0,13,word
0,364.5520816687047,0,14,word
0,327.88691176536736,0,15,word
0,423.72469527153913,0,16,word
0,373.6178133470072,0,17,word
0,262.53329206042565,0,18,word
0,336.565642133849,0,19,word
0,305.6661996721116,1,0,word
0,208.535738566681,1,1,word
0,229.6864536624652,1,2,word
0,265.9204230674666,1,3,word
0,173.36529110088276,1,4,word
0,300.6487842554878,1,5,word
0,225.4420892518357,1,6,word
0,252.02565799833388,1,7,word
0,180.54721239474162,1,8,word
0,267.14754169645244,1,9,word
0,212.54020422218642,1,10,word
0,213.29693392370334,1,11,word
0,316.7802773506422,1,12,word
0,291.9515397202971,1,13,word
0,273.2829741852554,1,14,word
0,204.60965467869727,1,15,word
0,340.4237557381056,1,16,word
0,207.84046233258144,1,17,word
0,123.35991750768605,1,18,word
0,378.54409428150745,1,19,word
0,270.4741949642163,2,0,word
0,243.57954904663424,2,1,word
0,180.78651201487548,2,2,word
0,252.32010324544885,2,3,word
0,326.64283252378044,2,4,word
0,316.453075146819,2,5,word
0,281.93257341866496,2,6,word
0,378.84415459181497,2,7,word
0,316.7204735973931,2,8,word
0,115.62258672134655,2,9,word
0,169.22978504611135,2,10,word
0,220.7562159273599,2,11,word
0,229.39298937504458,2,12,word
0,270.10966273813546,2,13,word
0,324.99151941875004,2,14,word
0,226.88818388063126,2,15,word
0,341.4884730866927,2,16,word
0,278.78222982751373,2,17,word
0,127.06286102608533,2,18,word
0,250.01682734156378,2,19,word
0,369.13107669196296,3,0,word
0,322.2243490976512,3,1,word
0,343.4734853111193,3,2,word
0,419.3256191172701,3,3,word
0,352.9898112535552,3,4,word
0,440.1077463116943,3,5,word
0,405.8333861982452,3,6,word
0,398.5620440711983,3,7,word
0,461.07765260348407,3,8,word
0,421.7665575989817,3,9,word
0,363.6782520657689,3,10,word
0,387.4483468529673,3,11,word
0,233.90612018066338,3,12,word
0,351.1101717702137,3,13,word
0,394.93737544484196,3,14,word
0,394.3901591230226,3,15,word
0,392.214836031549,3,16,word
0,342.63050773956326,3,17,word
0,320.5935142425163,3,18,word
0,423.61993967443004,3,19,word
0,243.9529616866743,4,0,word
0,238.41073296179982,4,1,word
0,233.76890171987043,4,2,word
0,192.6827467306397,4,3,word
0,227.73748679051235,4,4,word
0,250.18119720928033,4,5,word
0,168.004480289347,4,6,word
0,338.97320460266275,4,7,word
0,171.41958688465076,4,8,word
0,287.8415763256,4,9,word
0,185.43671962077957,4,10,word
0,309.0095039598632,4,11,word
0,223.57363413847673,4,12,word
0,234.8734528694283,4,13,word
0,170.17174579950785,4,14,word
0,243.45480727920585,4,15,word
0,275.7553194301761,4,16,word
0,288.3467088454227,4,17,word
0,183.11855275325456,4,18,word
0,285.75148924788505,4,19,word
0,342.47475718027624,5,0,word
0,324.14195199877713,5,1,word
0,244.54217855538536,5,2,word
0,418.78231521769465,5,3,word
0,287.49647264203816,5,4,word
0,279.27463909711867,5,5,word
0,401.1150585085037,5,6,word
0,378.8579053157415,5,7,word
0,356.1742499107688,5,8,word
0,357.6786987139672,5,9,word
0,241.29990219630508,5,10,word
0,378.97091531753085,5,11,word
0,304.18306282284703,5,12,word
0,394.0288849603072,5,13,word
0,323.6529630330673,5,14,word
0,283.9715729689642,5,15,word
0,471.5820586605714,5,16,word
0,290.9614348930243,5,17,word
0,304.77828481411217,5,18,word
0,436.5738635912196,5,19,word
0,229.86395702024925,6,0,word
0,405.20816196651214,6,1,word
0,305.7075990951553,6,2,word
0,279.0858331567009,6,3,word
0,375.28654375101723,6,4,word
0,425.19701202074697,6,5,word
0,270.0453796111425,6,6,word
0,352.83125459333814,6,7,word
0,329.21514357420904,6,8,word
0,347.12506809969364,6,9,word
0,296.47569868428235,6,10,word
0,317.4395979980467,6,11,word
0,372.8376770346836,6,12,word
0,260.4598727565664,6,13,word
0,379.22087280358994,6,14,word
0,312.05379829906144,6,15,word
0,364.6462637769903,6,16,word
0,364.5728107021668,6,17,word
0,259.48823546041723,6,18,word
0,322.1294106276834,6,19,word
0,356.8761122141194,7,0,word
0,353.0599562234399,7,1,word
0,306.4821942575429,7,2,word
0,248.39077329095204,7,3,word
0,330.40671328295434,7,4,word
0,299.8783631257945,7,5,word
0,233.81227926555437,7,6,word
0,346.404820497619,7,7,word
0,370.91556400046846,7,8,word
0,362.2280220860777,7,9,word
0,335.49298144538267,7,10,word
0,312.4008839122844,7,11,word
0,280.0687990114491,7,12,word
0,437.9668408596796,7,13,word
0,391.8396744232896,7,14,word
0,332.86302378750514,7,15,word
0,394.61298998376697,7,16,word
0,303.26399113930404,7,17,word
0,279.75416918136807,7,18,word
0,345.8657442452019,7,19,word
0,278.8867393216206,8,0,word
0,351.2657581310256,8,1,word
0,320.48924167806746,8,2,word
0,283.3274794077496,8,3,word
0,415.20623200694536,8,4,word
0,374.75746538437903,8,5,word
0,294.3236131075029,8,6,word
0,418.1734679225017,8,7,word
0,266.7145511187996,8,8,word
0,290.0943679383974,8,9,word
0,369.41942204358645,8,10,word
0,394.72344542754036,8,11,word
0,363.8619507717632,8,12,word
0,263.41048310795384,8,13,word
0,380.30391377053934,8,14,word
0,352.080739941556,8,15,word
0,448.6191787310762,8,16,word
0,254.32306117501534,8,17,word
0,371.70079999204825,8,18,word
0,336.56033645816905,8,19,word
0,187.27195247775956,9,0,word
0,194.55239568877266,9,1,word
0,360.9831454878862,9,2,word
0,318.3549978649469,9,3,word
